,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cardiovascular Disease | Cardiovascular Disease Deaths,Deaths | Premature Death,Heat and Disasters | Longer Summers,Income-related | Service Workers,Mental Health | Suicide,Sexually Transmitted Disease | New Gonorrhea Cases
0,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,188.9291091,5094.792265,50.90238095,32.72458,12.06194214,140.2
1,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,153.5750842,3807.898474,36.776587304,37.75181318,4.792585459,183.34
2,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,237.9129081,6377.25679,36.776587304,37.75181318,19.86349818,183.34
3,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2010,102.7632712,2579.797021,36.776587304,18.85036711,9.2701667372,183.34
4,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2010,71.38923082,2025.151915,36.776587304,32.923359702,7.497020094599999,183.34
5,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2010,161.099229,3244.60378,36.776587304,32.923359702,12.9836190326,183.34
6,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,275.5111508,9309.636235,36.776587304,36.02018503,7.362212058,183.34
7,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,228.1356625,7672.368289,36.776587304,43.077637088,5.796801667642591,183.34
8,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,350.0364904,10945.54208,36.776587304,43.077637088,12.20013260425,183.34
9,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,173.7642223,4657.919234,36.776587304,57.64453585,4.742059421,183.34
10,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,140.8506695,3312.773042,36.776587304,66.304261638,3.239988464625647,183.34
11,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,236.2237151,6004.098064,36.776587304,66.304261638,7.0040341,183.34
12,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2010,207.51891006,4643.7228405999995,36.776587304,50.16820858,7.881004512400001,183.34
13,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,187.9392192,4926.24818,36.776587304,19.66626083,16.9749379,183.34
14,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,152.8290376,3729.416655,36.776587304,26.881755708,6.608157048,183.34
15,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,234.3856937,6108.084778,36.776587304,26.881755708,27.72699917,183.34
16,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,190.5724099,5095.44413,50.90238095,32.72458,13.08844854,142.8
17,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,155.2753939,3761.318821,36.776587304,37.75181318,5.174335824,199.86
18,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,239.0897256,6421.457571,36.776587304,37.75181318,21.66746639,199.86
19,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2011,107.2708554,2412.616192,36.776587304,18.85036711,10.804304222471218,199.86
20,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2011,81.46164776,1968.819666,36.776587304,32.923359702,7.086230315,199.86
21,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2011,174.4089107,2930.628153,36.776587304,32.923359702,18.3118259258,199.86
22,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,297.468536,9639.976735,36.776587304,36.02018503,8.29037384,199.86
23,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,248.7483327,7504.660627,36.776587304,43.077637087999996,4.138896197,199.86
24,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,370.9069928,11846.24854,36.776587304,43.077637087999996,15.030459,199.86
25,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,161.6767369,4584.786725,36.776587304,57.64453585,4.93047941,199.86
26,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,134.7492247,3267.514995,36.776587304,66.304261638,2.4717100288792175,199.86
27,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,203.3140051,5877.314008,36.776587304,66.304261638,7.969602676,199.86
28,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2011,213.22636264,5306.5148738,36.776587304,50.16820858,15.308873579999998,199.86
29,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,188.4665734,5096.044359,36.776587304,19.66626083,18.76316311,199.86
30,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,151.265635,3818.693508,36.776587304,26.881755707999996,7.956069061,199.86
31,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,238.2303727,6347.941352,36.776587304,26.881755707999996,30.31782951,199.86
32,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2012,181.977635,4920.523665,50.90238095,32.72458,12.87254119,152.9
33,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2012,143.1146835,3665.71229,36.776587303999996,37.75181318,5.818541565,183.04000000000002
34,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2012,238.7645226,6185.547362,36.776587303999996,37.75181318,20.86608578,183.04000000000002
35,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2012,144.469644,2499.317653,36.776587303999996,18.85036711,11.249340076767398,183.04000000000002
36,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2012,105.6240605,2013.085946,36.776587303999996,32.92335970199999,7.3317589282,183.04000000000002
37,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2012,216.3289768,3048.157932,36.776587303999996,32.92335970199999,13.2730846942,183.04000000000002
38,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2012,291.7200033,9384.397512,36.776587303999996,36.02018503,8.848003259,183.04000000000002
39,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2012,254.0492642,7264.682898,36.776587303999996,43.077637087999996,4.129348872,183.04000000000002
40,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2012,350.6150549,11552.29289,36.776587303999996,43.077637087999996,16.20100905,183.04000000000002
41,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2012,157.0770276,4400.919039,36.776587303999996,57.64453585,4.065500505,183.04000000000002
42,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2012,128.7243077,3186.684141,36.776587303999996,66.304261638,2.520250904908189,183.04000000000002
43,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2012,197.0242001,5594.3876,36.776587303999996,66.304261638,5.899549071,183.04000000000002
44,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2012,208.02165594000002,7912.854865199999,36.776587303999996,50.16820858,11.382343376,183.04000000000002
45,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2012,176.7012332,5053.014048,36.776587303999996,19.66626083,19.11635637,183.04000000000002
46,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2012,132.3847784,3729.230891,36.776587303999996,26.881755707999996,9.312338263,183.04000000000002
47,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2012,241.2785598,6359.462841,36.776587303999996,26.881755707999996,30.08729037,183.04000000000002
48,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2013,184.3495638,4849.666831,50.90238095,30.30738127,12.87250021,169.8
49,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2013,148.8466424,3590.381542,36.776587304,37.061853570000004,6.324462,191.05999999999997
50,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2013,231.6262836,6098.565414,36.776587304,37.061853570000004,20.10103266,191.05999999999997
51,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2013,145.9225973,2437.036802,36.776587304,13.85276553,7.800661614676994,191.05999999999997
52,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2013,106.7417363,1960.88593,36.776587304,32.04053672599999,6.1981720664,191.05999999999997
53,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2013,229.9930447,2919.211315,36.776587304,32.04053672599999,15.3197025526,191.05999999999997
54,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2013,317.0085588,9627.553498,36.776587304,40.89507903,7.574841469,191.05999999999997
55,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2013,269.2307855,6924.555949,36.776587304,44.399219941999995,2.622878837,191.05999999999997
56,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2013,387.5132082,12425.31324,36.776587304,44.399219941999995,14.43694307,191.05999999999997
57,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2013,151.5718269,4333.040092,36.776587304,51.66691334,4.426305399,191.05999999999997
58,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2013,122.2149093,3154.978246,36.776587304,63.261324466000005,2.489880743,191.05999999999997
59,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2013,188.0380116,5498.331831,36.776587304,63.261324466000005,6.257961776,191.05999999999997
60,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2013,200.38565178000002,5924.7165442,36.776587304,39.74056604,13.034210002799998,191.05999999999997
61,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2013,179.8915315,4977.167352,36.776587304,18.74510969,19.56389152,191.05999999999997
62,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2013,140.7369661,3706.870609,36.776587304,26.250425441999997,10.5878498,191.05999999999997
63,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2013,232.7265015,6212.681408,36.776587304,26.250425441999997,29.52029589,191.05999999999997
