,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | All Cancer Deaths,Deaths | Injury Deaths,"Health Insurance | Uninsured, All Ages",Income Inequality | Income Inequality,Lead Poisoning | Housing Lead Risk,"Racial Segregation Indices | Racial Segregation, White and Non-White",Transportation | Longer Driving Commute Time
0,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,155.0121655,65.42352643,15.200886646308398,0.4876,6.288232493,44.16342767,30.710212420960193
1,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,133.000095,44.11109397,15.261904124753078,0.4789529084352461,13.064195571238317,44.52763242309031,30.698639030147724
2,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,189.7602695,89.25090483,15.261904124753078,0.4789529084352461,13.064195571238317,44.52763242309031,30.698639030147724
3,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2010,110.2149045,27.99791817,13.542377251872495,0.4789529084352461,13.064195571238317,44.52763242309031,30.698639030147724
4,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2010,79.0767511,30.862123928940917,13.575524094032927,0.4791669725874883,12.982074620068392,44.492248892199015,30.693066696175073
5,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2010,158.0413096,54.60338236,13.575524094032927,0.4791669725874883,12.982074620068392,44.492248892199015,30.693066696175073
6,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,231.6289111,68.38893885,14.614836631152961,0.4789529084352461,13.064195571238317,44.52763242309031,30.698639030147724
7,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,193.8349607,36.72725256,14.616136634940315,0.4791669725874883,12.982074620068392,44.492248892199015,30.693066696175073
8,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,305.9965893,101.3662228,14.616136634940315,0.4791669725874883,12.982074620068392,44.492248892199015,30.693066696175073
9,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,134.2368221,53.16989102,29.881290574410563,0.4789529084352461,13.064195571238317,44.52763242309031,30.698639030147724
10,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,103.7544578,37.63764859,29.86332971086585,0.4791669725874883,12.982074620068392,44.492248892199015,30.693066696175073
11,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,184.4562198,68.63379166,29.86332971086585,0.4791669725874883,12.982074620068392,44.492248892199015,30.693066696175073
12,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2010,190.61242457142853,49.035792342857135,19.779548727417854,0.4789529084352461,13.064195571238317,44.52763242309031,30.698639030147724
13,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,155.2409969,74.40119336,8.398894276112049,0.4789529084352461,13.064195571238317,44.52763242309031,30.698639030147724
14,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,136.9851695,52.23603332,8.41417025604837,0.4791669725874883,12.982074620068392,44.492248892199015,30.693066696175073
15,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,184.7959735,99.13700974,8.41417025604837,0.4791669725874883,12.982074620068392,44.492248892199015,30.693066696175073
