,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Breast Cancer Deaths,Deaths | Maternal Deaths,"Health Insurance | Uninsured, Child",Income | Households with Higher-Incomes,Life Expectancy at Birth | Life Expectancy,Respiratory Infection | COVID-19 Deaths,Transportation | Public Transportation Use
0,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,19.97068927,16.82868955,7.970846352870854,51.89652475,78.52436526796856,85.71321888853127,4.673878794
1,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,22.236409179378334,28.847276480312793,8.006815049704892,49.42231353788726,81.0022750639144,73.55493443739923,3.04978129705472
2,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,22.236409179378334,28.847276480312793,8.006815049704892,49.42231353788726,76.01311153110446,118.1593648570923,3.04978129705472
3,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2010,23.964765348384283,38.63439803714286,9.429879074949891,49.42231353788726,79.82937552571428,115.07047813428251,3.0403486149284333
4,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2010,23.964765348384283,38.63439803714286,9.481957536790027,49.42846410194234,81.46569135,90.5113617535259,3.077051350141469
5,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2010,23.964765348384283,38.63439803714286,9.481957536790027,49.42846410194234,74.26762033857143,142.9346270675127,3.077051350141469
6,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,39.89371387,64.9266329,6.563432201966034,49.42231353788726,74.57210132854064,121.62076437759707,3.696502582805811
7,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,32.69081411878609,51.02942363171057,6.580281642938493,49.42846410194234,77.18984446303082,87.98992892556919,3.832604638904083
8,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,32.69081411878609,51.02942363171057,6.580281642938493,49.42846410194234,71.11610219337373,196.58279668381817,3.832604638904083
9,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,8.807824841,20.48891678,13.116296276108002,49.42231353788726,81.94285734376284,154.32855014274244,2.4887194953335605
10,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,16.033695279437133,23.189797145065583,13.162299665383367,49.42846410194234,83.3185879140947,129.87404230785768,2.441857148945964
11,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,16.033695279437133,23.189797145065583,13.162299665383367,49.42846410194234,78.3821042424785,197.7294165868261,2.441857148945964
12,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2010,26.756873964285717,31.88504250857143,6.836548565674121,49.42231353788726,78.45788071428571,108.05589613142858,2.907142775922111
13,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,20.74383132,34.49716332333333,4.200908096785826,49.42231353788726,78.62425740132244,61.680990514964904,2.5168048539874586
14,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,21.851580937601916,34.27698519735413,4.20619127557533,49.42846410194234,81.32469591390611,47.413117890065905,2.474197096787286
