,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Diabetes and Obesity | Diabetes,Income-related | Excessive Housing Cost,Physical Activity | Teen Computer Time,"Respiratory Infection | Flu Vaccinations, Medicare",Substance Use | Teen Smoking
0,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,7.7,25.05258421535206,38.2,50.0,11.6
1,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,10.110520539354031,25.040988048318134,34.17993100196074,50.42105675760426,11.229729729729732
2,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,10.110520539354031,25.040988048318134,36.95996624556353,50.42105675760426,13.700325118506937
3,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2010,10.110520539354031,25.040988048318134,37.89997207483943,45.14252286747501,12.96262682677092
4,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2010,10.106054223211867,25.03540474809415,34.42445524996201,45.14252286747501,10.416087762482146
5,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2010,10.106054223211867,25.03540474809415,37.21629235678468,45.14252286747501,13.420804084237396
6,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,10.110520539354031,25.040988048318134,35.670310987565465,38.28384031766291,10.48975008065917
7,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,10.106054223211867,25.03540474809415,37.35893293625151,38.28384031766291,11.17348074059506
8,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,10.106054223211867,25.03540474809415,37.7663613631894,38.28384031766291,12.343317506251228
9,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,10.110520539354031,25.040988048318134,36.32000198555509,40.712897964971994,14.630240984786441
10,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,10.106054223211867,25.03540474809415,37.49065827550361,40.712897964971994,13.570033433540305
