,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Low Birthweight,Deaths | Deaths from All Causes,Education | College Graduates,Housing | Renters vs. Owners,Language and Nativity | Primarily Speak English,Race/Ethnicity | Minority Population,Substance Use | Drug Overdose Deaths
0,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,7.836413514,688.4098865,44.78169182,1.21912036,76.890041168,51.36841684,14.8143794
1,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,8.9041411606,587.9776467,32.930064706,0.7842145078,76.890041168,47.869648176000005,12.11040148
2,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,8.9041411606,829.423526,32.930064706,0.7842145078,76.890041168,47.869648176000005,17.45165182
3,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2010,8.785405665,392.403955,70.57371383,1.438026162,76.890041168,47.869648176000005,10.973829330600001
4,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2010,8.3778933272,304.9997472,51.337292474,0.7927632176,76.890041168,47.869648176000005,11.1118036874
5,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2010,8.3778933272,591.412447,51.337292474,0.7927632176,76.890041168,47.869648176000005,16.8618533466
6,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,14.07894737,910.4160578,21.48810121,2.128226478,76.890041168,47.869648176000005,23.6023676
7,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,14.11473503,762.6494237,19.02868172,1.5856791986,76.890041168,47.869648176000005,10.478043816000001
8,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,14.11473503,1153.246434,19.02868172,1.5856791986,76.890041168,47.869648176000005,33.41172603
9,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,7.56941213,656.1195646,18.17644689,1.887775144,76.890041168,47.869648176000005,7.564694252
10,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,6.9277733364,534.7145243,13.7450423104,1.3588212523999998,76.890041168,47.869648176000005,6.193495205
11,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,6.9277733364,871.7253644,13.7450423104,1.3588212523999998,76.890041168,47.869648176000005,8.806397742
