,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | All Cancer Deaths,Deaths | Injury Deaths,"Health Insurance | Uninsured, All Ages",Income Inequality | Income Inequality,Lead Poisoning | Housing Lead Risk,"Racial Segregation Indices | Racial Segregation, White and Non-White",Transportation | Longer Driving Commute Time
0,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,155.0121655,65.42352643,13.83413072040874,0.4876,6.288232493,44.16342767,29.3242678647264
1,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,133.000095,44.11109397,13.683278902899449,0.47862847475088377,14.315869839607117,44.971509976989466,28.96174039633308
2,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,189.7602695,89.25090483,13.683278902899449,0.47862847475088377,14.315869839607117,44.971509976989466,28.96174039633308
3,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2010,110.2149045,27.99791817,13.542377402776758,0.47862847475088377,14.315869839607117,44.971509976989466,28.96174039633308
4,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2010,79.0767511,27.674512100555347,13.636950779597301,0.47862852308758097,14.315901353261188,44.97151931736563,28.961656754611532
5,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2010,158.0413096,54.60338236,13.636950779597301,0.47862852308758097,14.315901353261188,44.97151931736563,28.961656754611532
6,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,231.6289111,68.38893885,15.260415477546289,0.47862847475088377,14.315869839607117,44.971509976989466,28.96174039633308
7,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,193.8349607,36.72725256,15.417610216568969,0.47862852308758097,14.315901353261188,44.97151931736563,28.961656754611532
8,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,305.9965893,101.3662228,15.417610216568969,0.47862852308758097,14.315901353261188,44.97151931736563,28.961656754611532
9,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,134.2368221,53.16989102,30.57761407351841,0.47862847475088377,14.315869839607117,44.971509976989466,28.96174039633308
10,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,103.7544578,37.63764859,30.69191890196789,0.47862852308758097,14.315901353261188,44.97151931736563,28.961656754611532
11,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,184.4562198,68.63379166,30.69191890196789,0.47862852308758097,14.315901353261188,44.97151931736563,28.961656754611532
12,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2010,177.2965172857143,55.23949880285715,21.311579612425145,0.47862847475088377,14.315869839607117,44.971509976989466,28.96174039633308
13,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,155.2409969,74.40119336,8.240733355025812,0.47862847475088377,14.315869839607117,44.971509976989466,28.96174039633308
14,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,136.9851695,52.23603332,8.24671564034613,0.47862852308758097,14.315901353261188,44.97151931736563,28.961656754611532
