,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Air Pollution | Hazardous Air Quality,Diabetes and Obesity | Teen Obesity,Income-related | Public Assistance,Physical Activity | Teen Physical Activity,Respiratory Infection | Pneumonia or Influenza Deaths,Transportation | Drives Alone to Work
0,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,2.191780822,15.3,10.18525051,59.05,10.29937244,71.70185205
1,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,5.949101994339722,12.299563605059266,13.332553068414716,69.54958645122838,9.152035256,77.84293413207855
2,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,5.949101994339722,15.743805708231243,13.332553068414716,48.20805344016952,12.23595392,77.84293413207855
3,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2010,5.949101994339722,12.700092368907207,13.332553068414716,60.42852245274975,15.148596028786022,73.3892177354801
4,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2010,5.949110683926816,14.11600408443783,13.332550528605864,66.60768422439962,10.832751017000001,73.45650456994092
5,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2010,5.949110683926816,18.215187049547723,13.332550528605864,51.258218145287394,20.15848689142857,73.45650456994092
6,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,5.949101994339722,16.799742401165485,13.332553068414716,61.83972750148995,13.21443941,77.21693173640473
7,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,5.949110683926816,14.813879237854591,13.332550528605864,63.24366507977745,11.753146723666667,77.26045239048577
8,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,5.949110683926816,17.056512448878387,13.332550528605864,54.171398637000514,20.763284265,77.26045239048577
9,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,5.949101994339722,14.402266737302165,13.332553068414716,62.06349745049996,6.361817076,71.2925981545222
10,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,5.949110683926816,14.242122950265642,13.332550528605864,63.64340636781291,11.19900523,71.27002371479092
11,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,5.949110683926816,16.28484119068177,13.332550528605864,54.57113992503598,20.70059374,71.27002371479092
12,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2010,5.949101994339722,13.828623703282652,13.332553068414716,59.38570235895979,14.760064322857142,73.13261836744637
13,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,5.949101994339722,8.296555857227998,13.332553068414716,50.24759916561816,10.6373331,81.45852279257312
14,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,5.949110683926816,10.628123210246597,13.332550528605864,57.77200791580524,9.317621025,81.3367293072271
15,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,5.949110683926816,12.499485761570437,13.332550528605864,48.69974147302832,12.67401831,81.3367293072271
16,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,3.835616438,15.3,10.18525051,59.05,10.25600055,71.70185205
17,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,8.643753259051078,11.6,13.97261881817388,71.8,10.01150513,79.33571919644025
18,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,8.643753259051078,13.6,13.97261881817388,48.1,10.86394293,79.33571919644025
19,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2011,8.643753259051078,12.642762036642523,13.97261881817388,60.728582587700615,15.159042100916462,72.64381118142795
