,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cardiovascular Disease | High Blood Pressure,Income | Poverty and Near Poverty in All Ages,Mental Health | Teen Suicidal Ideation,Respiratory Disease | Teen Asthma,Substance Use | Adult Binge Drinking
0,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,23.4,37.98052897,12.25,21.7,21.4
1,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,30.87146485727988,37.8408839084538,14.896446924044763,22.33754850672141,16.785674701149222
2,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,30.87146485727988,37.8408839084538,10.323468313356729,23.642312429640416,16.785674701149222
3,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2010,30.87146485727988,37.8408839084538,12.614272772488277,21.89999289469945,16.785674701149222
4,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2010,30.871446715159905,37.840878646603436,15.107892852440479,20.93393766543751,16.78569449255282
5,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2010,30.871446715159905,37.840878646603436,9.925447357151967,22.200171876834887,16.78569449255282
6,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,30.87146485727988,37.8408839084538,12.823081584001057,28.637335275809548,16.785674701149222
7,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,30.871446715159905,37.840878646603436,14.342686401866926,26.128134293092035,16.78569449255282
8,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,30.871446715159905,37.840878646603436,11.771306206547164,24.62890322376616,16.78569449255282
9,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,30.87146485727988,37.8408839084538,13.931239321899211,19.054118932521025,16.785674701149222
10,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,30.871446715159905,37.840878646603436,14.742849529704362,19.657799109591377,16.78569449255282
11,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,30.871446715159905,37.840878646603436,11.557444781803895,19.743608164369164,16.78569449255282
12,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2010,30.87146485727988,37.8408839084538,12.671413599545263,22.4428307517408,16.785674701149222
13,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,30.87146485727988,37.8408839084538,12.972978941791933,22.709488775577775,16.785674701149222
14,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,30.871446715159905,37.840878646603436,14.456951885138402,22.842647680132746,16.78569449255282
