,,,,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
metric_label,,,,Active Transportation | Riding Bike to Work,Active Transportation | Walking to Work,Air Pollution | Hazardous Air Quality,Air Pollution | Poor Air Quality,Birth Control | Teen Birth Control,Births | Low Birthweight,Births | Prenatal Care,Births | Preterm Births,Births | Teen Births,Cancer | All Cancer Deaths,Cancer | Breast Cancer Deaths,Cancer | Colorectal Cancer Deaths,Cancer | Lung Cancer Deaths,Cancer | Prostate Cancer Deaths,Cardiovascular Disease | Cardiovascular Disease Deaths,Cardiovascular Disease | Heart Disease Deaths,Cardiovascular Disease | High Blood Pressure,Crime Incidents | Homicides,Crime Incidents | Violent Crime,Deaths | Deaths from All Causes,Deaths | Gun Deaths (Firearms),Deaths | Infant Deaths,Deaths | Injury Deaths,Deaths | Maternal Deaths,Deaths | Motor Vehicle Deaths,Deaths | Police Killings,Deaths | Premature Death,Deaths | Racial Disparity in Police Killings,Diabetes and Obesity | Adult Obesity,Diabetes and Obesity | Diabetes,Diabetes and Obesity | Diabetes Deaths,Diabetes and Obesity | Teen Obesity,Dietary Quality | Teen Breakfast,Dietary Quality | Teen Soda,Disability | People with Disabilities,Education | College Graduates,Education | Preschool Enrollment,Food Access | Limited Supermarket Access,"Health Insurance | Uninsured, All Ages","Health Insurance | Uninsured, Child",Heat and Disasters | Climate-related  Disasters,Heat and Disasters | Community Social Vulnerability to Climate Disasters,Heat and Disasters | Longer Summers,Heat and Disasters | Number of Heat Waves,"Housing | Homeless, Children","Housing | Homeless, Total",Housing | Owner Occupied Housing,Housing | Renters vs. Owners,Housing | Vacant Housing Units,Housing | Vacant Housing and Homelessness,Income Inequality | Household Income Inequality,Income Inequality | Income Inequality,Income | Households with Higher-Incomes,Income | Per-capita Household Income,Income | Poverty and Near Poverty in All Ages,Income | Poverty in All Ages,Income | Poverty in Children,Income-related | Excessive Housing Cost,Income-related | Public Assistance,Income-related | Service Workers,Income-related | Unemployment,Language and Nativity | Foreign Born Population,Language and Nativity | Primarily Speak Chinese,Language and Nativity | Primarily Speak English,Language and Nativity | Primarily Speak Spanish,Lead Poisoning | Child Lead Levels 10+ mcg/dL,Lead Poisoning | Child Lead Levels 5+ mcg/dL,Lead Poisoning | Child Lead Testing,Lead Poisoning | Housing Lead Risk,Life Expectancy at Birth | Life Expectancy,Mental Health | Adult Mental Distress,Mental Health | Electronic Bullying,Mental Health | School Bullying,Mental Health | Suicide,Mental Health | Teen Mental Distress,Mental Health | Teen Suicidal Ideation,Oral Health | Dental Care,Physical Activity | Adult Physical Inactivity,Physical Activity | Teen Computer Time,Physical Activity | Teen Physical Activity,Physical Activity | Teen Physical Education,Physical Activity | Teen Physical Inactivity,Physical Activity | Teen TV Time,Population | Children,Population | Population Density,Population | Seniors,Population | Single-Parent Families,Race/Ethnicity | Minority Population,"Racial Segregation Indices | Racial Segregation, White and Asian","Racial Segregation Indices | Racial Segregation, White and Black","Racial Segregation Indices | Racial Segregation, White and Hispanic","Racial Segregation Indices | Racial Segregation, White and Non-White",Respiratory Disease | Teen Asthma,Respiratory Infection | COVID-19 Deaths,"Respiratory Infection | COVID-19 Vaccination, Adults","Respiratory Infection | COVID-19 Vaccination, Seniors","Respiratory Infection | Flu Vaccinations, Medicare",Respiratory Infection | New Tuberculosis Cases,Respiratory Infection | Pneumonia or Influenza Deaths,School Violence | Fighting in School,School Violence | Weapons in School,Sexually Transmitted Disease | HIV-Related Deaths,Sexually Transmitted Disease | HIV/AIDS Prevalence,Sexually Transmitted Disease | New Chlamydia Cases,Sexually Transmitted Disease | New Gonorrhea Cases,Sexually Transmitted Disease | Syphilis Prevalence,"Sexually Transmitted Disease | Syphilis, Newborns",Substance Use | Adult Binge Drinking,Substance Use | Adult Smoking,Substance Use | Drug Overdose Deaths,Substance Use | Opioid Overdose Deaths,Substance Use | Teen Alcohol,Substance Use | Teen Marijuana,Substance Use | Teen Smoking,Transportation | Drives Alone to Work,Transportation | Lack of Car,Transportation | Longer Driving Commute Time,Transportation | Public Transportation Use
geo_label_city,date_label,strata_race_label,strata_sex_label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,2010,All,Both,1.458997071,2.506039282,2.191780822,25.47945205,,7.836413514,68.06582572,,46.31688603,155.0121655,19.97068927,12.77803434,35.9764409,20.3938153,188.9291091,139.0183077,23.4,3.955670262,475.9452977,688.4098865,7.79317832,,65.42352643,16.82868955,8.533844633,0.695747522,5094.792265,4.16935343,25.3,7.7,17.18095968,,,,8.49604215,44.78169182,42.98900322,63.14366606,,,41.25,28.32369942,50.90238095,7.769230769,,,45.06290051,1.21912036,8.145933655,,0.003340583,0.4876,51.89652475,31387.0,37.98052897,19.39894657,27.23602876,,10.18525051,32.72458,7.334555582,19.08120494,,,,,1.927904408,10.1397925,6.288232493,,10.1,,,12.06194214,,,62.4,20.3,,,,,,22.04468091,2685.086346,6.921902795,10.98588611,51.36841684,40.61898946,57.92412466,49.97393478,44.16342767,,,,,50.0,6.5,10.29937244,,,2.551203752,442.7,565.9,140.2,8.1,0.0,21.4,14.1,14.8143794,5.316296067,,,,71.70185205,7.104797372,,4.673878794
Austin,2010,All,Female,,,,,,,,,,133.000095,,11.84385819,27.7824158,,153.5750842,104.0132076,,2.598894685,,587.9776467,2.424252248,,44.11109397,,4.109670849,,3807.898474,,,,16.74117481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.792585459,,,,,,,,,,,,,,,,,,,,,,,,,9.152035256,,,,126.8,,,,,,,12.11040148,4.224055566,,,,,,,
Austin,2010,All,Male,,,,,,,,,,189.7602695,,13.69767157,47.84770899,,237.9129081,188.1989692,,5.251540797,,829.423526,13.4383718,,89.25090483,,13.02870944,,6377.25679,,,,17.84771037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.86349818,,,,,,,,,,,,,,,,,,,,,,,,,12.23595392,,,3.998868276,755.0,,,,,,,17.45165182,6.417004384,,,,,,,
Austin,2010,Asian/PI,Both,,,,,,8.785405665,82.2619623,,5.46000546,110.2149045,,,,,102.7632712,69.61796231,,,,392.403955,,,27.99791817,,,,2579.797021,,,,,,,,2.973168963,70.57371383,,,,,,,,,,,41.01678708,1.438026162,,,,,,31998.0,,16.84774675,7.837837838,,,18.85036711,6.419018225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2,,,,,,,,,,,,,,,
Austin,2010,Asian/PI,Female,,,,,,,,,,79.0767511,,,,,71.38923082,,,,,304.9997472,,,,,,,2025.151915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,2010,Asian/PI,Male,,,,,,,,,,158.0413096,,,,,161.099229,111.1121059,,,,591.412447,,,54.60338236,,,,3244.60378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,2010,Black,Both,,,,,,14.07894737,63.45984113,,80.9587217,231.6289111,39.89371387,21.40895751,51.94070369,37.68812958,275.5111508,205.9905324,,10.4743466,,910.4160578,11.23645566,,68.38893885,64.9266329,,4.656013707,9309.636235,,,,36.59403803,,,,16.22406961,21.48810121,,,,,,,,,,,31.96699494,2.128226478,,,,,,19782.0,,27.08774905,40.98975703,,,36.02018503,12.96263762,,,,,,,,,,,,,7.362212058,,,,,,,,,,,,,,,,,,,,,,,,,13.21443941,,,13.94872142,1209.3,,,,,,,23.6023676,,,,,,,,
Austin,2010,Black,Female,,,,,,,,,,193.8349607,,19.47566794,42.64307796,,228.1356625,165.9694955,,,,762.6494237,,,36.72725256,,,,7672.368289,,,,44.61118082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
