geo_label_city,date_label,strata_race_label,strata_sex_label,Cancer | All Cancer Deaths,Cancer | Colorectal Cancer Deaths,Cancer | Lung Cancer Deaths,Cardiovascular Disease | Cardiovascular Disease Deaths,Cardiovascular Disease | Heart Disease Deaths,Crime Incidents | Homicides,Deaths | Deaths from All Causes,Deaths | Gun Deaths (Firearms),Deaths | Injury Deaths,Deaths | Motor Vehicle Deaths,Deaths | Premature Death,Diabetes and Obesity | Diabetes Deaths,Life Expectancy at Birth | Life Expectancy,Mental Health | Suicide,Respiratory Infection | COVID-19 Deaths,Respiratory Infection | Pneumonia or Influenza Deaths,Sexually Transmitted Disease | HIV-Related Deaths,Substance Use | Drug Overdose Deaths,Substance Use | Opioid Overdose Deaths
Austin,2010,Asian/PI,Female,79.0767511,,,71.38923082,,,304.9997472,,,,2025.151915,,,,,,,,
Austin,2010,Asian/PI,Male,158.0413096,,,161.099229,111.1121059,,591.412447,,54.60338236,,3244.60378,,,,,,,,
Austin,2010,Black,Female,193.8349607,19.47566794,42.64307796,228.1356625,165.9694955,,762.6494237,,36.72725256,,7672.368289,44.61118082,,,,,,,
Austin,2010,Black,Male,305.9965893,21.02780127,66.93026818,350.0364904,263.8762244,15.81001622,1153.246434,19.61465966,101.3662228,,10945.54208,25.54371488,,,,,18.50246828,33.41172603,
Austin,2010,Hispanic,Female,103.7544578,12.22439445,17.24144602,140.8506695,93.68691194,3.400617222,534.7145243,,37.63764859,3.736869326,3312.773042,29.04607198,,,,,,6.193495205,
Austin,2010,Hispanic,Male,184.4562198,18.52787179,27.95463135,236.2237151,185.8230248,6.206742003,871.7253644,7.145543415,68.63379166,15.59411179,6004.098064,19.98190816,,7.0040341,,,,8.806397742,4.272863082
Austin,2010,White,Female,136.9851695,11.5943144,29.5733417,152.8290376,103.8914782,,599.2314014,2.740325488,52.23603332,5.043600583,3729.416655,10.41500023,,6.608157048,,9.317621025,,16.27051623,5.966741308
Austin,2010,White,Male,184.7959735,11.21135897,52.31478343,234.3856937,187.8922057,2.38516509,821.344639,15.72979042,99.13700974,11.93549962,6108.084778,17.0216383,,27.72699917,,12.67401831,3.12256567,21.94356713,8.366898792
Austin,2011,Asian/PI,Female,93.73147479,,,81.46164776,33.56591948,,369.4268738,,19.18078167,,1968.819666,,,,,,,,
Austin,2011,Asian/PI,Male,137.2376536,,,174.4089107,125.7363129,,587.0556116,,42.90453666,,2930.628153,,,,,,,,
Austin,2011,Black,Female,189.2204277,18.52295506,40.76925199,248.7483327,175.7746799,,781.6096055,,34.2084847,,7504.660627,34.04193559,78.2802917,,,12.78368645,,12.82382763,
Austin,2011,Black,Male,287.608977,,68.94572484,370.9069928,276.8467464,15.99464802,1169.305635,20.12549083,116.0018348,19.02942557,11846.24854,31.58976388,72.30786938,15.030459,,,18.90948812,37.65543617,
Austin,2011,Hispanic,Female,114.6343744,12.95861445,16.12059338,134.7492247,84.12630367,2.973284808,541.4525058,,33.02443681,3.370402134,3267.514995,31.99123952,83.13909168,,,,,5.675901623,
Austin,2011,Hispanic,Male,161.6403498,20.54311227,25.69316513,203.3140051,160.7634714,5.710748534,761.5322893,6.874129255,65.57948855,17.32945149,5877.314008,24.32550821,78.97747303,7.969602676,,8.494997958,4.126331629,8.963606385,4.248625975
