,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Active Transportation | Riding Bike to Work,Active Transportation | Walking to Work,Birth Control | Teen Birth Control,Births | Low Birthweight,Births | Preterm Births,Births | Teen Births,Cancer | All Cancer Deaths,Cancer | Breast Cancer Deaths,Cancer | Colorectal Cancer Deaths,Cancer | Lung Cancer Deaths,Cardiovascular Disease | Cardiovascular Disease Deaths,Cardiovascular Disease | Heart Disease Deaths,Crime Incidents | Homicides,Crime Incidents | Violent Crime,Deaths | Deaths from All Causes,Deaths | Gun Deaths (Firearms),Deaths | Infant Deaths,Deaths | Injury Deaths,Deaths | Maternal Deaths,Deaths | Motor Vehicle Deaths,Deaths | Premature Death,Deaths | Racial Disparity in Police Killings,Diabetes and Obesity | Diabetes Deaths,Disability | People with Disabilities,Education | College Graduates,Education | Preschool Enrollment,Food Access | Limited Supermarket Access,"Health Insurance | Uninsured, All Ages","Health Insurance | Uninsured, Child",Heat and Disasters | Climate-related  Disasters,Heat and Disasters | Community Social Vulnerability to Climate Disasters,Heat and Disasters | Longer Summers,"Housing | Homeless, Children","Housing | Homeless, Total",Housing | Owner Occupied Housing,Housing | Renters vs. Owners,Housing | Vacant Housing and Homelessness,Income Inequality | Household Income Inequality,Income Inequality | Income Inequality,Income | Households with Higher-Incomes,Income | Per-capita Household Income,Income-related | Service Workers,Income-related | Unemployment,Language and Nativity | Foreign Born Population,Language and Nativity | Primarily Speak Chinese,Language and Nativity | Primarily Speak English,Language and Nativity | Primarily Speak Spanish,Lead Poisoning | Child Lead Levels 5+ mcg/dL,Lead Poisoning | Housing Lead Risk,Life Expectancy at Birth | Life Expectancy,Mental Health | Adult Mental Distress,Mental Health | Suicide,Oral Health | Dental Care,Physical Activity | Teen Computer Time,Physical Activity | Teen Physical Education,Physical Activity | Teen TV Time,Population | Children,Population | Population Density,Population | Single-Parent Families,Race/Ethnicity | Minority Population,"Racial Segregation Indices | Racial Segregation, White and Asian","Racial Segregation Indices | Racial Segregation, White and Black","Racial Segregation Indices | Racial Segregation, White and Hispanic","Racial Segregation Indices | Racial Segregation, White and Non-White",Respiratory Disease | Teen Asthma,Respiratory Infection | COVID-19 Deaths,"Respiratory Infection | COVID-19 Vaccination, Adults","Respiratory Infection | COVID-19 Vaccination, Seniors","Respiratory Infection | Flu Vaccinations, Medicare",Respiratory Infection | New Tuberculosis Cases,Sexually Transmitted Disease | New Chlamydia Cases,Sexually Transmitted Disease | New Gonorrhea Cases,Sexually Transmitted Disease | Syphilis Prevalence,"Sexually Transmitted Disease | Syphilis, Newborns",Substance Use | Adult Smoking,Substance Use | Drug Overdose Deaths,Substance Use | Opioid Overdose Deaths,Transportation | Lack of Car,Transportation | Longer Driving Commute Time,Transportation | Public Transportation Use
6666,3,1,3,1,0,0,0,2010,,,,,,,127.3519433,,,,131.2458381,84.1563261,,,416.2454593,,,,,,2906.475582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5838,1,1,2,1,1,0,0,2010,,,,,,,169.406946,,14.96813709,45.57861444,217.254709,166.758671,,,744.6103153,5.475263931,,56.30732419,,5.927785964,5941.626873,,15.24007412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.48631552,,,,,,,,,,,,,,,,,,,,,,,,16.5033102,9.176689269,,,
0,0,0,2,1,0,0,0,2010,1.458997071,2.506039282,,7.836413514,,46.31688603,155.0121655,19.97068927,12.77803434,35.9764409,188.9291091,139.0183077,3.955670262,475.9452977,688.4098865,7.79317832,,65.42352643,16.82868955,8.533844633,5094.792265,4.16935343,17.18095968,8.49604215,44.78169182,42.98900322,63.14366606,,,41.25,28.32369942,50.90238095,,,45.06290051,1.21912036,,0.003340583,0.4876,51.89652475,31387.0,32.72458,7.334555582,19.08120494,,,,1.927904408,6.288232493,,10.1,12.06194214,62.4,,,,22.04468091,2685.086346,10.98588611,51.36841684,40.61898946,57.92412466,49.97393478,44.16342767,,,,,50.0,6.5,565.9,140.2,8.1,0.0,14.1,14.8143794,5.316296067,7.104797372,,4.673878794
11,3,2,2,1,0,0,0,2010,,,,,,,184.4562198,,18.52787179,27.95463135,236.2237151,185.8230248,6.206742003,,871.7253644,7.145543415,,68.63379166,,15.59411179,6004.098064,,19.98190816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0040341,,,,,,,,,,,,,,,,,,,,,,,,8.806397742,4.272863082,,,
3550,1,1,3,1,1,0,1,2010,,,,,,,141.4848465,,11.8045808,33.2036547,200.8329093,154.9416291,1.192464996,,561.093693,1.118448579,,23.32025706,,4.045964882,3221.59566,,12.70050523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.101586106,,,,,,,,,,,,,,,,,,,,,,,,9.258906935,1.868209404,,,
214,2,0,2,0,0,0,1,2010,,,,13.93871771,,63.08139535,241.1069905,34.28074572,25.03952076,64.33369951,342.9849324,261.5118084,42.79774269,,1096.728885,35.83561699,,94.76083334,31.81721766,7.996954032,13348.74555,,39.00030871,16.65326219,13.17240908,,,,,,,,,,43.8772901,1.27908332,,,,,17784.0,47.40275588,17.86863576,,,,,,,,,5.52205956,,,,,,,,,,,,,,,,,,,,,,,,19.81356416,16.17550893,,,
4799,1,2,3,1,0,0,0,2010,,,,,,,199.7759319,,20.2597013,38.15986612,239.1230118,189.8091339,,,832.0028419,11.15845991,,78.59197375,,9.880726602,5933.798581,,15.55024856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.48688914,,,,,,,,,,,,,,,,,,,,,,,,24.37374463,,,,
4174,1,1,0,0,0,0,1,2010,,,,,,,,,15.14667679,50.32450613,231.4303469,179.0420496,,,765.6063783,,,52.9469665,,,5996.886798,,13.99226229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.322278451,,,,,,,,,,,,,,,,,,,,,,,,19.30020878,13.88152095,,,
4161,0,1,0,0,0,0,1,2010,,,,,,,183.9388622,,14.14547451,46.54916695,243.9391686,184.7342408,4.355951064,,785.1950911,2.3973644,,45.8166017,,4.603452054,6676.576772,,20.47671351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.755196437,,,,,,,,,,,,,,,,,,,,,,,,14.40020923,9.779077938,,,
3953,0,1,2,0,0,0,1,2010,,,,,,,171.9217866,,21.67333591,35.94596752,256.266019,183.3226615,6.517964741,,795.7099548,6.689561122,,41.67535419,,7.217466371,7385.329151,,29.72801114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.914257693,,,,,,,,,,,,,,,,,,,,,,,,8.208463235,4.044151942,,,
