,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Active Transportation | Riding Bike to Work,Active Transportation | Walking to Work,Births | Low Birthweight,Births | Preterm Births,Cancer | All Cancer Deaths,Cancer | Breast Cancer Deaths,Cancer | Lung Cancer Deaths,Cardiovascular Disease | Cardiovascular Disease Deaths,Crime Incidents | Homicides,Crime Incidents | Violent Crime,Deaths | Deaths from All Causes,Deaths | Injury Deaths,Deaths | Maternal Deaths,Deaths | Premature Death,Deaths | Racial Disparity in Police Killings,Diabetes and Obesity | Diabetes Deaths,Disability | People with Disabilities,Food Access | Limited Supermarket Access,"Health Insurance | Uninsured, All Ages","Health Insurance | Uninsured, Child","Housing | Homeless, Children",Housing | Renters vs. Owners,Income Inequality | Income Inequality,Income-related | Unemployment,Language and Nativity | Foreign Born Population,Language and Nativity | Primarily Speak Chinese,Language and Nativity | Primarily Speak Spanish,Lead Poisoning | Child Lead Levels 5+ mcg/dL,Lead Poisoning | Housing Lead Risk,Life Expectancy at Birth | Life Expectancy,Mental Health | Adult Mental Distress,Population | Children,Population | Single-Parent Families,Race/Ethnicity | Minority Population,"Racial Segregation Indices | Racial Segregation, White and Black","Racial Segregation Indices | Racial Segregation, White and Non-White",Respiratory Infection | COVID-19 Deaths,Respiratory Infection | New Tuberculosis Cases,Sexually Transmitted Disease | New Gonorrhea Cases,"Sexually Transmitted Disease | Syphilis, Newborns",Substance Use | Adult Smoking,Substance Use | Drug Overdose Deaths,Substance Use | Opioid Overdose Deaths,Transportation | Lack of Car
6666,0.6,0.5,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.27127188238469785,,,0.1407371450324704,,,0.14442495260012667,,,0.07003203632428014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5838,0.2,0.5,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,,,,,0.39963805033940425,,0.3874756669949863,0.29824240182147826,,,0.33289442404599595,0.10538916505777295,,0.17462562079346297,,0.14887089770930803,,,,,,,,,,,,,,,,,,,,,,,,,,0.05751819519468503,0.038261198579777035,
0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.20904499293818987,0.11177556404098488,0.23979589251902536,,0.355700285681167,0.3385206433022795,0.29013500798621583,0.24637064906774933,0.020177932956828463,0.12814064162323535,0.30063742419529565,0.12550416507483694,0.17100396568283285,0.14544306657749412,0.4471649624201069,0.173305593757844,0.15256092638686344,0.8734714333085027,,,,0.15759239451113932,0.47030651340996127,0.2537912830872212,0.3977801669040965,,,0.13919207246401247,0.07378337965986062,,0.03571428571428575,0.5423653479479047,0.15010058843088445,0.392509280362831,0.4877377793745771,0.5183899609934091,,0.42748091603053434,0.1636336063087655,0.0,0.2621359223300971,0.051243600615697035,0.021473716461043763,0.05791488123649054
11,0.6,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,,,,,0.4455735510927347,,0.20881506258145394,0.33297972769902046,0.03291853376622427,,0.4058538339186917,0.13258765044036455,,0.17677842477793787,,0.2085680152869159,,,,,,,,,,,,,,,,,,,,,,,,,,0.028923178048978457,0.01693619614609011,
3550,0.2,0.5,1.0,1.0,1.0,0.0,1.0,0.0,,,,,0.3144103084787427,,0.26202628501072744,0.26816969244137934,0.0045387622421327245,,0.22756256476074946,0.0326028404004076,,0.08089130999342538,,0.11689910339008609,,,,,,,,,,,,,,,,,,,,,,,,,,0.03060430774910592,0.006479209381048345,
214,0.4,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,0.7268833335844678,,0.6184909658962716,0.6868583295895856,0.5776026557308463,0.5284880836393561,0.24001603513785855,,0.5349976622732758,0.19023725386107931,0.38503167939810484,0.42988047260706286,,0.44799935855918965,0.377891656227481,,,,,0.16920162744962275,,0.6182929484750074,,,,,,,,,,,,,,,,,,0.0698162132973151,0.06869658527831479,
4799,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.4923345214932038,,0.3122691684370557,0.33828911574774817,,,0.38305455231691254,0.1545604882117078,,0.17435585199380566,,0.15277582560388459,,,,,,,,,,,,,,,,,,,,,,,,,,0.08675786872586724,,
4174,0.2,0.5,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.43558646428108155,0.32420178791995913,,,0.3449453997327916,0.09797449903653173,,0.17652991915591593,,0.13316162384989644,,,,,,,,,,,,,,,,,,,,,,,,,,0.06790903220709973,0.058720844419873845,
4161,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.44399439978348404,,0.39731450405958035,0.34710878755116126,0.022443439567329155,,0.35618860764698124,0.08224127106531105,,0.199952544222162,,0.21479734615505808,,,,,,,,,,,,,,,,,,,,,,,,,,0.0497049053041659,0.040880773446950125,
3953,0.0,0.5,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.4073141989570077,,0.28982608846095753,0.36968254904035763,0.0346799901407349,,0.3622237565603118,0.0731035631096003,,0.22437668150997625,,0.33126616343225557,,,,,,,,,,,,,,,,,,,,,,,,,,0.026701774652100354,0.01594161244121882,
1049,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.44925732915463945,,0.3526198830533567,,0.37852400537190745,0.20643023637878075,,,0.2883202533790643,0.07726564490822518,,0.17589264642919375,,0.4561246426995683,0.3851359600703361,,,,,0.207045812910334,,0.6567449942799644,,,,,,,,,,,,,,,,,,0.057173035406179525,,
2499,0.8,0.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,,,0.44095736183284995,,0.4082840571071143,0.14232302991175538,0.30214598064371434,0.24461630406649362,0.021732233107840213,,0.26867261089861855,0.058574772376634054,,0.11304937110533199,,0.14137768767190964,0.05962671801618557,,,,,0.1478456101604042,,0.22474889622433006,,,,,,,,,,,,,,,,,,,,
1881,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.16185061052503058,,0.3647852125344281,,0.22176730544095355,0.28260312672845206,0.12961930351289902,,0.33006844296896176,0.17340860280319162,,0.23764818105467714,,0.40092548935237127,0.18590812133715537,,,,,0.13548887090915196,,0.7317341023496381,,,,,,,,,,,,,,,,,,0.09119172438613761,,
4584,0.4,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,,,,,0.5661309596860868,,0.4481348592776189,0.5554457283061288,0.15978348269409615,,0.4464539574876113,0.12762851936475764,,0.32058016922421523,,0.4960519111587943,,,,,,,,,,,,,,,,,,,,,,,,,,0.04715912096871521,0.01959666519863782,
210,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.7058927760090484,,0.7176076582449372,0.6498723675517883,0.28170281746864345,,0.6325772075482321,0.28427066756758623,,0.4706980210323981,,0.3903721533616634,,,,,,,,,,,,,,,,,,,,,,,,,,0.1113429798162415,0.10851920091717494,
3343,0.2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,,0.591280850228061,,0.5617637785310577,,,,0.5202853236048026,0.15362091461174607,,0.2581967051112941,,0.3027421556811094,,,,,,,,,,,,,,,,,,,,,,,,,,0.10017741465780197,0.0570657979366808,
