date_label,geo_label_city,geo_strata_poverty,geo_strata_Population,geo_strata_PopDensity,geo_strata_Segregation,Active Transportation | Riding Bike to Work,Active Transportation | Walking to Work,Air Pollution | Hazardous Air Quality,Air Pollution | Poor Air Quality,Birth Control | Teen Birth Control,Births | Low Birthweight,Births | Prenatal Care,Births | Preterm Births,Births | Teen Births,Cancer | All Cancer Deaths,Cancer | Breast Cancer Deaths,Cancer | Colorectal Cancer Deaths,Cancer | Lung Cancer Deaths,Cancer | Prostate Cancer Deaths,Cardiovascular Disease | Cardiovascular Disease Deaths,Cardiovascular Disease | Heart Disease Deaths,Cardiovascular Disease | High Blood Pressure,Crime Incidents | Homicides,Crime Incidents | Violent Crime,Deaths | Deaths from All Causes,Deaths | Gun Deaths (Firearms),Deaths | Infant Deaths,Deaths | Injury Deaths,Deaths | Maternal Deaths,Deaths | Motor Vehicle Deaths,Deaths | Police Killings,Deaths | Premature Death,Deaths | Racial Disparity in Police Killings,Diabetes and Obesity | Adult Obesity,Diabetes and Obesity | Diabetes,Diabetes and Obesity | Diabetes Deaths,Diabetes and Obesity | Teen Obesity,Dietary Quality | Teen Breakfast,Dietary Quality | Teen Soda,Disability | People with Disabilities,Education | College Graduates,Education | Preschool Enrollment,Food Access | Limited Supermarket Access,"Health Insurance | Uninsured, All Ages","Health Insurance | Uninsured, Child",Heat and Disasters | Climate-related  Disasters,Heat and Disasters | Community Social Vulnerability to Climate Disasters,Heat and Disasters | Longer Summers,Heat and Disasters | Number of Heat Waves,"Housing | Homeless, Children","Housing | Homeless, Total",Housing | Owner Occupied Housing,Housing | Renters vs. Owners,Housing | Vacant Housing Units,Housing | Vacant Housing and Homelessness,Income Inequality | Household Income Inequality,Income Inequality | Income Inequality,Income | Households with Higher-Incomes,Income | Per-capita Household Income,Income | Poverty and Near Poverty in All Ages,Income | Poverty in All Ages,Income | Poverty in Children,Income-related | Excessive Housing Cost,Income-related | Public Assistance,Income-related | Service Workers,Income-related | Unemployment,Language and Nativity | Foreign Born Population,Language and Nativity | Primarily Speak Chinese,Language and Nativity | Primarily Speak English,Language and Nativity | Primarily Speak Spanish,Lead Poisoning | Child Lead Levels 10+ mcg/dL,Lead Poisoning | Child Lead Levels 5+ mcg/dL,Lead Poisoning | Child Lead Testing,Lead Poisoning | Housing Lead Risk,Life Expectancy at Birth | Life Expectancy,Mental Health | Adult Mental Distress,Mental Health | Electronic Bullying,Mental Health | School Bullying,Mental Health | Suicide,Mental Health | Teen Mental Distress,Mental Health | Teen Suicidal Ideation,Oral Health | Dental Care,Physical Activity | Adult Physical Inactivity,Physical Activity | Teen Computer Time,Physical Activity | Teen Physical Activity,Physical Activity | Teen Physical Education,Physical Activity | Teen Physical Inactivity,Physical Activity | Teen TV Time,Population | Children,Population | Population Density,Population | Seniors,Population | Single-Parent Families,Race/Ethnicity | Minority Population,"Racial Segregation Indices | Racial Segregation, White and Asian","Racial Segregation Indices | Racial Segregation, White and Black","Racial Segregation Indices | Racial Segregation, White and Hispanic","Racial Segregation Indices | Racial Segregation, White and Non-White",Respiratory Disease | Teen Asthma,Respiratory Infection | COVID-19 Deaths,"Respiratory Infection | COVID-19 Vaccination, Adults","Respiratory Infection | COVID-19 Vaccination, Seniors","Respiratory Infection | Flu Vaccinations, Medicare",Respiratory Infection | New Tuberculosis Cases,Respiratory Infection | Pneumonia or Influenza Deaths,School Violence | Fighting in School,School Violence | Weapons in School,Sexually Transmitted Disease | HIV-Related Deaths,Sexually Transmitted Disease | HIV/AIDS Prevalence,Sexually Transmitted Disease | New Chlamydia Cases,Sexually Transmitted Disease | New Gonorrhea Cases,Sexually Transmitted Disease | Syphilis Prevalence,"Sexually Transmitted Disease | Syphilis, Newborns",Substance Use | Adult Binge Drinking,Substance Use | Adult Smoking,Substance Use | Drug Overdose Deaths,Substance Use | Opioid Overdose Deaths,Substance Use | Teen Alcohol,Substance Use | Teen Marijuana,Substance Use | Teen Smoking,Transportation | Drives Alone to Work,Transportation | Lack of Car,Transportation | Longer Driving Commute Time,Transportation | Public Transportation Use
2010,Houston,0,1,0,1,0.427012702,2.134254008,10.4109589,64.93150685,24.0,9.047509805,54.73033108,,77.07342498,186.4590904,28.062729,18.73590394,44.97284622,23.37703298,248.1555272,183.158768,32.3,11.78011099,986.07586,819.2733657,14.76607898,,64.49811212,32.24558236,12.71750547,0.919372173,7839.927904,1.59845289,33.6,11.8,23.29409133,13.8,18.1,26.6,9.840075942,28.72222754,41.93885204,47.70047983,,,23.5,54.52538631,76.55,9.0,,,45.92669209,1.17738303,14.2662054,,-0.088102657,0.5221,45.50610899,27029.0,46.65207303,22.17703998,34.27869085,,13.57075441,44.55144228,8.95239974,28.30682973,,,,,1.661179538,14.72171513,9.510581908,,11.7,11.4,12.0,11.19609744,30.5,14.1,53.3,28.9,34.5,69.7,40.9,22.1,40.9,25.75853556,3515.152168,9.172843566,14.50927662,74.08558879,45.64917258,70.23545278,60.23684748,57.33324219,19.3,,,,43.0,8.2,14.87307474,34.7,13.9,9.459805095,587.8,543.4,158.9,6.6,60.1,16.0,17.0,11.39818966,5.092811532,33.0,19.5,12.3,75.3821106,9.969487362,,4.514293289
2010,Denver,1,0,0,0,2.2543037,4.390416238,0.821917808,43.01369863,,8.880327709,67.97608881,,53.22780881,168.3206749,22.08996966,15.15613705,39.20050731,25.36478076,191.2431642,139.6614423,25.0,6.010330301,542.1290798,745.739199,9.909819804,,82.20976006,11.90183368,8.754147667,1.094228725,6714.87389,0.388738685,19.4,6.9,19.20647081,,,,9.703724156,42.24469366,50.34224536,50.50659191,,,10.65,28.16901408,31.07142857,3.307692308,,,50.41361768,0.983591033,8.28701028,,-0.049531004,0.506,49.30605417,32597.0,38.77048102,18.92215104,28.46846287,,10.80332727,34.14351925,8.616415798,16.10937924,,,,0.264410365,0.832892649,14.61529544,28.55251405,,10.3,,,16.2624685,,,62.6,16.1,,,,,,21.55186678,3950.734955,10.43441283,9.791625292,47.76257702,39.49015837,57.81659441,56.95471886,49.41546163,,,,,47.0,3.8,14.67782485,,,3.582026029,1032.1,1740.0,287.1,16.4,0.0,21.3,17.7,24.63387912,14.1637117,,,,69.11613566,12.40891245,,7.448291367
2010,Long Beach,1,0,0,1,1.070642096,2.841040797,31.23287671,91.23287671,,7.707423581,82.312417,,35.20826675,175.2116668,25.18115428,18.76697555,41.04441436,22.99196039,293.9923732,232.2839195,26.7,6.412298782,588.4045368,790.7680632,8.68658354,,41.09370353,13.18652337,6.126265861,1.922782497,5842.794306,5.363943768,26.0,10.2,26.53315602,,,,10.03310625,28.64269952,53.27624721,19.74365593,,,40.4,53.33333333,5.291666667,3.461538462,,,40.82121418,1.449706654,7.270212729,,-0.010204839,0.4767,52.4654991,26866.0,42.15924793,20.22975568,28.53760637,,11.78723931,39.39937857,11.7491842,26.4100313,,,,0.143988481,2.334670369,,36.53068134,,13.1,,,10.06085598,,,59.5,23.4,,,,,,25.4678174,9215.10397,9.324207434,15.69837242,70.98162381,52.71223688,60.42966775,60.66213098,56.81241023,,,,,38.0,7.3,26.86358469,,,5.536918095,500.3,483.9,101.7,7.0,5.3,16.1,16.1,9.884432356,3.794859947,,,,72.21304667,10.81131258,,7.491597126
2010,Detroit,0,0,0,1,0.3125,3.14360687,7.123287671,53.42465753,19.4,13.1462681,67.25440806,,64.4585482,213.0450483,31.53769942,20.65911421,57.56538927,36.67231417,374.582294,303.4785847,46.7,41.76116189,1887.381914,1009.90197,40.64245713,,95.24708223,39.86300144,11.01857078,0.697948363,12666.93272,0.901590496,44.8,17.9,28.82443066,18.8,19.1,21.4,19.23651155,12.31496204,45.61112165,51.04771005,,,2.95,75.62724014,25.2172619,3.692307692,,,52.57564695,0.902021293,28.68874136,,-0.405652323,0.4923,25.87004137,14861.0,62.93955248,38.11917272,52.68012585,,38.84465768,52.2025382,27.46447677,5.142080146,,,,1.021352355,4.600770699,32.28620562,59.06586595,,17.2,9.1,19.5,8.416910225,28.2,13.2,47.6,36.3,28.8,73.3,44.5,20.9,44.4,26.86292638,5199.670845,11.54078056,23.83424693,91.86897662,73.7096432,59.19007889,63.0321661,52.88877022,22.9,,,,43.0,3.9,17.22471524,34.7,13.2,8.269641413,355.3,1165.5,412.9,5.3,20.7,13.5,29.6,21.14434282,6.605712602,24.7,16.3,4.8,70.8754771,23.49430402,,8.822519084
2010,Tucson,0,0,0,0,2.445715904,3.618792231,1.369863014,43.01369863,,6.994990075,,,56.04556706,215.4577511,25.44518203,17.86003284,53.31646606,33.5742147,291.9722747,220.2382893,28.4,10.84587798,631.9400046,1003.94239,22.50202429,,100.4933026,22.38465446,13.6692655,1.642947637,9056.685959,3.740441258,29.3,9.5,33.40933262,,,,13.65065482,24.20657845,31.91504526,56.87050952,,,5.85,41.80327869,52.14166667,6.0,,,51.69145366,0.934555771,12.04539749,,-0.234495418,0.4574,37.2306814,20393.0,48.44916324,24.37702796,32.65056845,,18.16110395,41.31820652,11.07789371,15.21751215,,,,,0.696810158,8.630805212,9.14615671,,13.4,,,24.88474407,,,57.0,22.1,,,,,,22.91645502,2300.972836,12.08330538,13.62218132,52.6159921,32.05430753,36.09012962,48.38034919,41.83415642,,,,,47.0,1.9,19.90781939,,,2.306791714,226.2,420.1,44.5,5.2,24.6,14.3,19.1,31.32970112,21.80950739,,,,73.53785837,11.86625853,,3.538256625
2010,Austin,1,0,0,0,1.458997071,2.506039282,2.191780822,25.47945205,,7.836413514,68.06582572,,46.31688603,155.0121655,19.97068927,12.77803434,35.9764409,20.3938153,188.9291091,139.0183077,23.4,3.955670262,475.9452977,688.4098865,7.79317832,,65.42352643,16.82868955,8.533844633,0.695747522,5094.792265,4.16935343,25.3,7.7,17.18095968,,,,8.49604215,44.78169182,42.98900322,63.14366606,,,41.25,28.32369942,50.90238095,7.769230769,,,45.06290051,1.21912036,8.145933655,,0.003340583,0.4876,51.89652475,31387.0,37.98052897,19.39894657,27.23602876,,10.18525051,32.72458,7.334555582,19.08120494,,,,,1.927904408,10.1397925,6.288232493,,10.1,,,12.06194214,,,62.4,20.3,,,,,,22.04468091,2685.086346,6.921902795,10.98588611,51.36841684,40.61898946,57.92412466,49.97393478,44.16342767,,,,,50.0,6.5,10.29937244,,,2.551203752,442.7,565.9,140.2,8.1,0.0,21.4,14.1,14.8143794,5.316296067,,,,71.70185205,7.104797372,,4.673878794
2010,Chicago,1,1,1,1,1.292197634,6.405217559,8.493150685,73.69863014,17.3,9.614265179,75.2672962,,49.02618118,188.6519663,25.43530306,20.30860192,48.67454202,30.45130576,270.8570407,216.3156559,29.1,13.83759008,884.28,790.5660924,13.4191683,,48.28912925,18.90857174,6.009167063,0.775598021,7320.626103,1.439537206,30.7,11.2,25.02040813,15.7,21.4,29.4,10.6982024,33.60145813,52.90247731,19.27676185,,,6.7,51.91326531,40.88333333,5.307692308,,,46.07446441,1.170399619,13.96302186,,-0.08263565,0.5186,47.9989826,28202.0,43.73600981,22.13602156,32.571357,,17.9429479,39.07682101,12.85315858,21.18120786,,,,2.539288314,8.339399649,11.41004688,54.73118351,,12.3,11.5,12.8,6.420118874,30.3,13.9,56.2,26.7,33.3,65.8,39.5,20.6,40.8,23.02770316,11870.51169,10.47737423,14.16817788,67.98285717,44.40881192,82.99594083,60.19431202,61.10900031,21.6,,,,45.0,4.9,19.56450395,39.3,16.5,6.064162723,294.5,666.7,194.7,15.4,32.8,20.1,19.6,10.91841123,7.452820366,37.7,25.0,13.6,50.3014661,26.79879931,,26.71684099
2010,Los Angeles,1,1,0,1,0.987731825,3.6611491,31.23287671,91.23287671,20.8,7.442237834,85.21544315,,36.70104178,151.8437746,20.92135057,14.22437711,32.08422554,22.25717779,235.1696451,183.189495,27.1,7.449841192,559.2305712,629.8838822,8.731036004,,37.55607697,6.443959036,6.820846709,0.944763703,5005.031868,1.023499481,26.5,10.9,23.85908676,13.4,14.2,21.3,9.527141344,30.84072867,56.29143489,26.14243694,,,40.4,56.48241206,5.291666667,3.461538462,,,37.99560282,1.631883496,7.182384656,,-0.036531344,0.5268,49.80780366,28111.0,44.96113778,21.17472027,30.57662555,,8.998507206,41.14159328,11.37586141,39.12353335,,,,0.283326107,3.253208845,25.60654138,31.64284114,,13.2,12.8,15.3,8.092139493,27.6,13.6,57.8,24.6,32.9,60.8,36.6,17.7,36.4,23.04303611,8117.609383,10.51601221,13.38065955,71.33617716,45.48806542,69.49888368,64.55606072,57.76353174,16.4,,,,38.0,7.3,23.66211659,29.0,12.5,3.618430457,500.3,483.9,101.7,7.0,5.3,15.9,16.0,7.825386697,2.622554134,32.9,22.4,9.1,66.99129004,13.13590804,,11.05665081
2010,Portland,1,0,0,0,6.13796085,5.707314948,0.0,12.87671233,9.8,6.434300883,74.10527539,,29.49660051,209.0499172,26.93237413,19.35473366,58.20420432,26.62938591,222.3784594,155.5304005,25.9,4.148385532,540.5817233,840.2723648,9.046736194,,70.37245967,14.30083231,6.113002482,0.687886947,6314.430776,5.520490492,24.4,8.0,28.43878079,8.7,12.1,6.9,11.40525882,43.05565199,53.62968148,41.76057977,,,8.15,21.58273381,37.53333333,5.461538462,,,53.82318979,0.857935221,6.516596145,,-0.035393423,0.4818,51.02977682,31249.0,35.3307241,17.17525831,22.60446686,,18.01616583,32.97074897,10.10481474,13.49967912,,,,,,,40.03648331,,12.0,16.0,18.3,17.14157491,33.7,15.8,66.5,15.1,41.4,54.8,56.3,14.3,14.9,19.26016577,4390.43328,10.58666503,8.655436151,27.72014446,33.134341,46.15685231,35.19300593,28.21216812,18.6,,,,42.0,4.9,10.57472627,20.4,10.9,2.463405185,463.7,448.9,78.1,6.0,0.0,21.4,18.5,21.00855223,13.02955171,32.7,26.8,6.5,59.46264775,15.16763294,,11.89454035
2010,Cleveland,0,0,0,1,0.632422417,4.796154872,10.4109589,72.87671233,19.7,13.50125945,60.43858873,,67.15771231,235.4737517,24.91030556,20.79758434,65.77755561,37.10454715,328.3457292,258.1854522,39.1,18.060413,1296.820501,1022.168729,18.44240109,,76.33141414,35.55075225,8.702699926,2.400034801,10926.12191,2.189274675,41.9,17.1,34.34921683,18.0,23.8,24.2,19.03608059,14.04848106,46.69850308,49.32979145,,,7.35,62.8742515,43.78333333,6.384615385,,,45.34731402,1.205202274,21.70495655,,-0.417026902,0.4917,25.40518976,16812.0,59.50961499,34.2254421,50.81189872,,32.31574435,51.18409115,19.50382602,4.599318545,,,,3.479066633,12.45050965,26.51907783,67.29385,,17.3,13.8,16.1,10.2931315,36.0,15.8,48.8,34.3,42.5,71.7,,30.1,35.5,24.23537334,5121.752377,12.30890615,20.50063711,65.49129084,53.65503383,69.54083694,39.00273014,56.26866804,,,,,48.0,2.8,14.9585287,42.5,19.2,5.1237339,333.3,771.8,248.0,5.5,6.6,15.1,27.8,22.65065278,16.22828308,27.9,24.2,8.5,69.92198984,24.84310433,,11.12516494
